"RECORD_DATE","RECORD_VALUE","RECORD_CATEGORY_ID","UNIT_ID","CREATED_BY","UPDATED_BY","VERSION"
"2013-09-07 00:00:00","0","3","1","init","init","1"
"2014-04-21 00:00:00","0","3","1","init","init","1"
"2014-06-29 00:00:00","0","3","1","init","init","1"
"2014-09-06 00:00:00","0","3","1","init","init","1"
"2014-12-05 00:00:00","0","3","1","init","init","1"
"2015-01-02 00:00:00","118","3","1","init","init","1"
"2015-02-01 00:00:00","126","3","1","init","init","1"
"2015-03-01 00:00:00","132","3","1","init","init","1"
"2015-04-02 00:00:00","140","3","1","init","init","1"
"2015-05-06 00:00:00","152","3","1","init","init","1"
"2015-06-01 00:00:00","163","3","1","init","init","1"
"2015-07-02 00:00:00","180","3","1","init","init","1"
"2015-08-01 00:00:00","193","3","1","init","init","1"
"2015-09-03 00:00:00","206","3","1","init","init","1"
"2015-10-01 00:00:00","212","3","1","init","init","1"
"2015-11-01 00:00:00","219","3","1","init","init","1"
"2015-12-04 00:00:00","227","3","1","init","init","1"
"2016-01-01 00:00:00","234","3","1","init","init","1"
"2016-02-01 00:00:00","241","3","1","init","init","1"
"2016-03-01 00:00:00","249","3","1","init","init","1"
"2016-04-01 00:00:00","257","3","1","init","init","1"
"2016-05-01 00:00:00","265","3","1","init","init","1"
"2016-06-01 00:00:00","275","3","1","init","init","1"
"2016-07-01 00:00:00","286","3","1","init","init","1"
"2016-08-01 00:00:00","297","3","1","init","init","1"
"2016-09-01 00:00:00","303","3","1","init","init","1"
"2016-10-01 00:00:00","312","3","1","init","init","1"
"2016-11-03 00:00:00","320","3","1","init","init","1"
"2016-12-02 00:00:00","327","3","1","init","init","1"
"2017-01-01 00:00:00","335","3","1","init","init","1"
"2017-02-01 00:00:00","343","3","1","init","init","1"
"2017-03-03 00:00:00","351","3","1","init","init","1"
"2017-04-01 00:00:00","359","3","1","init","init","1"
"2017-05-07 00:00:00","368","3","1","init","init","1"
"2017-06-03 00:00:00","377","3","1","init","init","1"
"2017-07-01 00:00:00","387","3","1","init","init","1"
"2017-08-04 00:00:00","399","3","1","init","init","1"
"2017-09-04 00:00:00","408","3","1","init","init","1"
"2017-10-01 00:00:00","417","3","1","init","init","1"
"2017-11-05 00:00:00","428","3","1","init","init","1"
"2017-12-01 00:00:00","436","3","1","init","init","1"
"2018-01-03 00:00:00","447","3","1","init","init","1"
"2018-01-31 00:00:00","456","3","1","init","init","1"
"2018-02-28 00:00:00","465","3","1","init","init","1"
"2018-03-31 00:00:00","475","3","1","init","init","1"
"2018-05-01 00:00:00","486","3","1","init","init","1"
"2018-06-02 00:00:00","495","3","1","init","init","1"
"2018-07-02 00:00:00","509","3","1","init","init","1"
"2018-08-03 00:00:00","521","3","1","init","init","1"
"2018-08-31 00:00:00","530","3","1","init","init","1"
"2018-09-30 00:00:00","537","3","1","init","init","1"
"2018-10-31 00:00:00","549","3","1","init","init","1"
"2018-11-30 00:00:00","559","3","1","init","init","1"
"2018-12-31 00:00:00","569","3","1","init","init","1"
"2019-01-31 00:00:00","579","3","1","init","init","1"
"2019-02-28 00:00:00","590","3","1","init","init","1"
"2019-03-31 00:00:00","603","3","1","init","init","1"
"2019-04-30 00:00:00","615","3","1","init","init","1"
"2019-06-03 00:00:00","3","3","1","init","init","1"
"2019-06-30 00:00:00","10","3","1","init","init","1"
"2019-07-31 00:00:00","20","3","1","init","init","1"
"2019-08-31 00:00:00","27","3","1","init","init","1"
"2019-09-30 00:00:00","37","3","1","init","init","1"
"2019-10-31 00:00:00","47","3","1","init","init","1"
"2019-11-30 00:00:00","56","3","1","init","init","1"
"2019-12-31 00:00:00","65","3","1","init","init","1"
"2020-01-31 00:00:00","74","3","1","init","init","1"
"2020-02-29 00:00:00","84","3","1","init","init","1"
"2020-03-31 00:00:00","95","3","1","init","init","1"
"2020-04-30 00:00:00","106","3","1","init","init","1"
"2020-05-31 00:00:00","117","3","1","init","init","1"
"2020-06-30 00:00:00","126","3","1","init","init","1"
"2020-07-31 00:00:00","136","3","1","init","init","1"
"2020-08-31 00:00:00","144","3","1","init","init","1"
"2020-10-01 00:00:00","155","3","1","init","init","1"
"2020-10-31 00:00:00","165","3","1","init","init","1"
"2020-11-30 00:00:00","175","3","1","init","init","1"
"2020-12-31 00:00:00","185","3","1","init","init","1"
"2021-01-31 00:00:00","196","3","1","init","init","1"
"2021-02-28 00:00:00","205","3","1","init","init","1"
"2021-03-31 00:00:00","216","3","1","init","init","1"
"2021-04-30 00:00:00","226","3","1","init","init","1"
"2021-05-31 00:00:00","235","3","1","init","init","1"
"2021-06-30 00:00:00","245","3","1","init","init","1"
"2021-07-31 00:00:00","255","3","1","init","init","1"
"2021-08-31 00:00:00","262","3","1","init","init","1"
"2021-09-30 00:00:00","270","3","1","init","init","1"
"2021-10-31 00:00:00","280","3","1","init","init","1"
"2021-11-30 00:00:00","290","3","1","init","init","1"
"2021-12-31 00:00:00","300","3","1","init","init","1"
"2022-01-31 00:00:00","310","3","1","init","init","1"
"2022-02-28 00:00:00","319","3","1","init","init","1"
"2022-03-31 00:00:00","331","3","1","init","init","1"
"2022-04-30 00:00:00","340","3","1","init","init","1"
"2022-05-31 00:00:00","350","3","1","init","init","1"
"2022-06-30 00:00:00","358","3","1","init","init","1"
"2022-07-31 00:00:00","368","3","1","init","init","1"
"2022-08-31 00:00:00","374","3","1","init","init","1"
"2022-09-30 00:00:00","383","3","1","init","init","1"
"2022-10-31 00:00:00","390","3","1","init","init","1"
"2022-11-30 00:00:00","397","3","1","init","init","1"
"2022-12-31 00:00:00","405","3","1","init","init","1"
"2023-01-31 00:00:00","413","3","1","init","init","1"
"2023-02-28 00:00:00","419","3","1","init","init","1"
"2023-03-31 00:00:00","428","3","1","init","init","1"
"2023-04-30 00:00:00","436","3","1","init","init","1"
"2023-05-31 00:00:00","445","3","1","init","init","1"
"2023-06-30 00:00:00","453","3","1","init","init","1"
"2023-07-31 00:00:00","464","3","1","init","init","1"
"2023-08-31 00:00:00","471","3","1","init","init","1"
"2023-09-30 00:00:00","481","3","1","init","init","1"
"2023-10-31 00:00:00","491","3","1","init","init","1"
"2023-11-30 00:00:00","502","3","1","init","init","1"
"2023-12-31 00:00:00","512","3","1","init","init","1"
"2024-01-31 00:00:00","522","3","1","init","init","1"
"2024-03-11 00:00:00","536","3","1","init","init","1"
"2024-03-31 00:00:00","543","3","1","init","init","1"
"2024-04-30 00:00:00","553","3","1","init","init","1"
"2024-05-31 00:00:00","560","3","1","init","init","1"
"2024-06-30 00:00:00","570","3","1","init","init","1"
"2024-07-31 00:00:00","580","3","1","init","init","1"
"2024-08-31 00:00:00","587","3","1","init","init","1"
"2024-09-30 00:00:00","598","3","1","init","init","1"
"2024-10-31 00:00:00","607","3","1","init","init","1"
"2024-11-30 00:00:00","618","3","1","init","init","1"
"2024-12-31 00:00:00","627","3","1","init","init","1"
"2025-01-31 00:00:00","638","3","1","init","init","1"
"2025-02-28 00:00:00","648","3","1","init","init","1"
"2025-03-31 00:00:00","658","3","1","init","init","1"
"2025-04-30 00:00:00","668","3","1","init","init","1"
"2025-05-31 00:00:00","679","3","1","init","init","1"
"2025-06-30 00:00:00","687","3","1","init","init","1"
"2013-09-07 00:00:00","733","2","2","init","init","1"
"2014-04-21 00:00:00","1937","2","2","init","init","1"
"2014-06-29 00:00:00","2242","2","2","init","init","1"
"2014-09-06 00:00:00","2552","2","2","init","init","1"
"2014-12-05 00:00:00","3165","2","2","init","init","1"
"2015-01-02 00:00:00","3408","2","2","init","init","1"
"2015-02-01 00:00:00","3681","2","2","init","init","1"
"2015-03-01 00:00:00","3915","2","2","init","init","1"
"2015-04-02 00:00:00","4161","2","2","init","init","1"
"2015-05-06 00:00:00","4378","2","2","init","init","1"
"2015-06-01 00:00:00","4501","2","2","init","init","1"
"2015-07-02 00:00:00","4647","2","2","init","init","1"
"2015-08-01 00:00:00","4775","2","2","init","init","1"
"2015-09-03 00:00:00","4909","2","2","init","init","1"
"2015-10-01 00:00:00","5026","2","2","init","init","1"
"2015-11-01 00:00:00","5226","2","2","init","init","1"
"2015-12-04 00:00:00","5467","2","2","init","init","1"
"2016-01-01 00:00:00","5690","2","2","init","init","1"
"2016-02-01 00:00:00","5935","2","2","init","init","1"
"2016-03-01 00:00:00","6156","2","2","init","init","1"
"2016-04-01 00:00:00","6371","2","2","init","init","1"
"2016-05-01 00:00:00","6578","2","2","init","init","1"
"2016-06-01 00:00:00","6711","2","2","init","init","1"
"2016-07-01 00:00:00","6867","2","2","init","init","1"
"2016-08-01 00:00:00","7001","2","2","init","init","1"
"2016-09-01 00:00:00","7112","2","2","init","init","1"
"2016-10-01 00:00:00","7265","2","2","init","init","1"
"2016-11-03 00:00:00","7481","2","2","init","init","1"
"2016-12-02 00:00:00","7707","2","2","init","init","1"
"2017-01-01 00:00:00","7970","2","2","init","init","1"
"2017-02-01 00:00:00","8252","2","2","init","init","1"
"2017-03-03 00:00:00","8480","2","2","init","init","1"
"2017-04-01 00:00:00","8688","2","2","init","init","1"
"2017-05-07 00:00:00","8930","2","2","init","init","1"
"2017-06-03 00:00:00","9090","2","2","init","init","1"
"2017-07-01 00:00:00","9257","2","2","init","init","1"
"2017-08-04 00:00:00","9461","2","2","init","init","1"
"2017-09-04 00:00:00","9642","2","2","init","init","1"
"2017-10-01 00:00:00","9830","2","2","init","init","1"
"2017-11-05 00:00:00","10104","2","2","init","init","1"
"2017-12-01 00:00:00","10332","2","2","init","init","1"
"2018-01-03 00:00:00","10667","2","2","init","init","1"
"2018-01-31 00:00:00","10937","2","2","init","init","1"
"2018-02-28 00:00:00","11218","2","2","init","init","1"
"2018-03-31 00:00:00","11504","2","2","init","init","1"
"2018-05-01 00:00:00","11728","2","2","init","init","1"
"2018-06-02 00:00:00","11914","2","2","init","init","1"
"2018-07-02 00:00:00","12089","2","2","init","init","1"
"2018-08-03 00:00:00","12277","2","2","init","init","1"
"2018-08-31 00:00:00","12430","2","2","init","init","1"
"2018-09-30 00:00:00","12579","2","2","init","init","1"
"2018-10-31 00:00:00","12840","2","2","init","init","1"
"2018-11-30 00:00:00","13121","2","2","init","init","1"
"2018-12-31 00:00:00","13420","2","2","init","init","1"
"2019-01-31 00:00:00","13709","2","2","init","init","1"
"2019-02-28 00:00:00","13994","2","2","init","init","1"
"2019-03-31 00:00:00","14301","2","2","init","init","1"
"2019-04-30 00:00:00","14579","2","2","init","init","1"
"2019-06-03 00:00:00","14916","2","2","init","init","1"
"2019-06-30 00:00:00","15101","2","2","init","init","1"
"2019-07-31 00:00:00","15321","2","2","init","init","1"
"2019-08-31 00:00:00","15477","2","2","init","init","1"
"2019-09-30 00:00:00","15712","2","2","init","init","1"
"2019-10-31 00:00:00","15991","2","2","init","init","1"
"2019-11-30 00:00:00","16294","2","2","init","init","1"
"2019-12-31 00:00:00","16603","2","2","init","init","1"
"2020-01-31 00:00:00","16910","2","2","init","init","1"
"2020-02-29 00:00:00","17163","2","2","init","init","1"
"2020-03-31 00:00:00","17442","2","2","init","init","1"
"2020-04-30 00:00:00","17731","2","2","init","init","1"
"2020-05-31 00:00:00","17998","2","2","init","init","1"
"2020-06-30 00:00:00","18194","2","2","init","init","1"
"2020-07-31 00:00:00","18439","2","2","init","init","1"
"2020-08-31 00:00:00","18613","2","2","init","init","1"
"2020-10-01 00:00:00","18845","2","2","init","init","1"
"2020-10-31 00:00:00","19113","2","2","init","init","1"
"2020-11-30 00:00:00","19442","2","2","init","init","1"
"2020-12-31 00:00:00","19819","2","2","init","init","1"
"2021-01-31 00:00:00","20249","2","2","init","init","1"
"2021-02-28 00:00:00","20615","2","2","init","init","1"
"2021-03-31 00:00:00","20959","2","2","init","init","1"
"2021-04-30 00:00:00","21249","2","2","init","init","1"
"2021-05-31 00:00:00","21506","2","2","init","init","1"
"2021-06-30 00:00:00","21731","2","2","init","init","1"
"2021-07-31 00:00:00","21925","2","2","init","init","1"
"2021-08-31 00:00:00","22087","2","2","init","init","1"
"2021-09-30 00:00:00","22264","2","2","init","init","1"
"2021-10-31 00:00:00","22551","2","2","init","init","1"
"2021-11-30 00:00:00","22860","2","2","init","init","1"
"2021-12-31 00:00:00","23201","2","2","init","init","1"
"2022-01-31 00:00:00","23534","2","2","init","init","1"
"2022-02-28 00:00:00","23814","2","2","init","init","1"
"2022-03-31 00:00:00","24104","2","2","init","init","1"
"2022-04-30 00:00:00","24345","2","2","init","init","1"
"2022-05-31 00:00:00","24577","2","2","init","init","1"
"2022-06-30 00:00:00","24760","2","2","init","init","1"
"2022-07-31 00:00:00","24972","2","2","init","init","1"
"2022-08-31 00:00:00","25130","2","2","init","init","1"
"2022-09-30 00:00:00","25331","2","2","init","init","1"
"2022-10-31 00:00:00","25558","2","2","init","init","1"
"2022-11-30 00:00:00","25816","2","2","init","init","1"
"2022-12-31 00:00:00","26128","2","2","init","init","1"
"2023-01-31 00:00:00","26414","2","2","init","init","1"
"2023-02-28 00:00:00","26648","2","2","init","init","1"
"2023-03-31 00:00:00","26920","2","2","init","init","1"
"2023-04-30 00:00:00","27145","2","2","init","init","1"
"2023-05-31 00:00:00","27344","2","2","init","init","1"
"2023-06-30 00:00:00","27532","2","2","init","init","1"
"2023-07-31 00:00:00","27757","2","2","init","init","1"
"2023-08-31 00:00:00","27906","2","2","init","init","1"
"2023-09-30 00:00:00","28097","2","2","init","init","1"
"2023-10-31 00:00:00","28340","2","2","init","init","1"
"2023-11-30 00:00:00","28636","2","2","init","init","1"
"2023-12-31 00:00:00","28956","2","2","init","init","1"
"2024-01-31 00:00:00","29273","2","2","init","init","1"
"2024-03-11 00:00:00","29655","2","2","init","init","1"
"2024-03-31 00:00:00","29843","2","2","init","init","1"
"2024-04-30 00:00:00","30077","2","2","init","init","1"
"2024-05-31 00:00:00","30249","2","2","init","init","1"
"2024-06-30 00:00:00","30474","2","2","init","init","1"
"2024-07-31 00:00:00","30686","2","2","init","init","1"
"2024-08-31 00:00:00","30858","2","2","init","init","1"
"2024-09-30 00:00:00","31098","2","2","init","init","1"
"2024-10-31 00:00:00","31345","2","2","init","init","1"
"2024-11-30 00:00:00","31636","2","2","init","init","1"
"2024-12-31 00:00:00","31917","2","2","init","init","1"
"2025-01-31 00:00:00","32238","2","2","init","init","1"
"2025-02-28 00:00:00","32528","2","2","init","init","1"
"2025-03-31 00:00:00","32804","2","2","init","init","1"
"2025-04-30 00:00:00","33032","2","2","init","init","1"
"2025-05-31 00:00:00","33277","2","2","init","init","1"
"2025-06-30 00:00:00","33440","2","2","init","init","1"
"2013-09-07 00:00:00","3407","1","2","init","init","1"
"2014-04-21 00:00:00","6038","1","2","init","init","1"
"2014-06-29 00:00:00","6311","1","2","init","init","1"
"2014-09-06 00:00:00","6492","1","2","init","init","1"
"2014-12-05 00:00:00","7171","1","2","init","init","1"
"2015-01-02 00:00:00","7571","1","2","init","init","1"
"2015-02-01 00:00:00","8032","1","2","init","init","1"
"2015-03-01 00:00:00","8482","1","2","init","init","1"
"2015-04-02 00:00:00","8819","1","2","init","init","1"
"2015-05-06 00:00:00","9025","1","2","init","init","1"
"2015-06-01 00:00:00","9109","1","2","init","init","1"
"2015-07-02 00:00:00","9181","1","2","init","init","1"
"2015-08-01 00:00:00","9234","1","2","init","init","1"
"2015-09-03 00:00:00","9275","1","2","init","init","1"
"2015-10-01 00:00:00","9325","1","2","init","init","1"
"2015-11-01 00:00:00","9576","1","2","init","init","1"
"2015-12-04 00:00:00","9840","1","2","init","init","1"
"2016-01-01 00:00:00","10068","1","2","init","init","1"
"2016-02-01 00:00:00","10411","1","2","init","init","1"
"2016-03-01 00:00:00","10713","1","2","init","init","1"
"2016-04-01 00:00:00","11007","1","2","init","init","1"
"2016-05-01 00:00:00","11212","1","2","init","init","1"
"2016-06-01 00:00:00","11307","1","2","init","init","1"
"2016-07-01 00:00:00","11385","1","2","init","init","1"
"2016-08-01 00:00:00","11454","1","2","init","init","1"
"2016-09-01 00:00:00","11506","1","2","init","init","1"
"2016-10-01 00:00:00","11591","1","2","init","init","1"
"2016-11-03 00:00:00","11806","1","2","init","init","1"
"2016-12-02 00:00:00","12152","1","2","init","init","1"
"2017-01-01 00:00:00","12622","1","2","init","init","1"
"2017-02-01 00:00:00","13197","1","2","init","init","1"
"2017-03-03 00:00:00","13566","1","2","init","init","1"
"2017-04-01 00:00:00","13814","1","2","init","init","1"
"2017-05-07 00:00:00","14080","1","2","init","init","1"
"2017-06-03 00:00:00","14180","1","2","init","init","1"
"2017-07-01 00:00:00","14251","1","2","init","init","1"
"2017-08-04 00:00:00","14332","1","2","init","init","1"
"2017-09-04 00:00:00","14410","1","2","init","init","1"
"2017-10-01 00:00:00","14528","1","2","init","init","1"
"2017-11-05 00:00:00","14732","1","2","init","init","1"
"2017-12-01 00:00:00","15019","1","2","init","init","1"
"2018-01-03 00:00:00","15480","1","2","init","init","1"
"2018-01-31 00:00:00","15812","1","2","init","init","1"
"2018-02-28 00:00:00","16259","1","2","init","init","1"
"2018-03-31 00:00:00","16659","1","2","init","init","1"
"2018-05-01 00:00:00","16838","1","2","init","init","1"
"2018-06-02 00:00:00","16942","1","2","init","init","1"
"2018-07-02 00:00:00","17018","1","2","init","init","1"
"2018-08-03 00:00:00","17090","1","2","init","init","1"
"2018-08-31 00:00:00","17150","1","2","init","init","1"
"2018-09-30 00:00:00","17238","1","2","init","init","1"
"2018-10-31 00:00:00","17427","1","2","init","init","1"
"2018-11-30 00:00:00","17721","1","2","init","init","1"
"2018-12-31 00:00:00","18145","1","2","init","init","1"
"2019-01-31 00:00:00","18635","1","2","init","init","1"
"2019-02-28 00:00:00","19039","1","2","init","init","1"
"2019-03-31 00:00:00","19366","1","2","init","init","1"
"2019-04-30 00:00:00","19575","1","2","init","init","1"
"2019-06-03 00:00:00","19758","1","2","init","init","1"
"2019-06-30 00:00:00","19813","1","2","init","init","1"
"2019-07-31 00:00:00","19885","1","2","init","init","1"
"2019-08-31 00:00:00","19941","1","2","init","init","1"
"2019-09-30 00:00:00","20058","1","2","init","init","1"
"2019-10-31 00:00:00","20224","1","2","init","init","1"
"2019-11-30 00:00:00","20524","1","2","init","init","1"
"2019-12-31 00:00:00","20896","1","2","init","init","1"
"2020-01-31 00:00:00","21304","1","2","init","init","1"
"2020-02-29 00:00:00","21619","1","2","init","init","1"
"2020-03-31 00:00:00","21915","1","2","init","init","1"
"2020-04-30 00:00:00","22089","1","2","init","init","1"
"2020-05-31 00:00:00","22241","1","2","init","init","1"
"2020-06-30 00:00:00","22313","1","2","init","init","1"
"2020-07-31 00:00:00","22394","1","2","init","init","1"
"2020-08-31 00:00:00","22457","1","2","init","init","1"
"2020-10-01 00:00:00","22564","1","2","init","init","1"
"2020-10-31 00:00:00","22740","1","2","init","init","1"
"2020-11-30 00:00:00","23026","1","2","init","init","1"
"2020-12-31 00:00:00","23405","1","2","init","init","1"
"2021-01-31 00:00:00","23861","1","2","init","init","1"
"2021-02-28 00:00:00","24208","1","2","init","init","1"
"2021-03-31 00:00:00","24526","1","2","init","init","1"
"2021-04-30 00:00:00","24809","1","2","init","init","1"
"2021-05-31 00:00:00","24979","1","2","init","init","1"
"2021-06-30 00:00:00","25052","1","2","init","init","1"
"2021-07-31 00:00:00","25127","1","2","init","init","1"
"2021-08-31 00:00:00","25196","1","2","init","init","1"
"2021-09-30 00:00:00","25281","1","2","init","init","1"
"2021-10-31 00:00:00","25501","1","2","init","init","1"
"2021-11-30 00:00:00","25886","1","2","init","init","1"
"2021-12-31 00:00:00","26322","1","2","init","init","1"
"2022-01-31 00:00:00","26778","1","2","init","init","1"
"2022-02-28 00:00:00","27131","1","2","init","init","1"
"2022-03-31 00:00:00","27442","1","2","init","init","1"
"2022-04-30 00:00:00","27709","1","2","init","init","1"
"2022-05-31 00:00:00","27819","1","2","init","init","1"
"2022-06-30 00:00:00","27852","1","2","init","init","1"
"2022-07-31 00:00:00","27923","1","2","init","init","1"
"2022-08-31 00:00:00","27970","1","2","init","init","1"
"2022-09-30 00:00:00","28064","1","2","init","init","1"
"2022-10-31 00:00:00","28178","1","2","init","init","1"
"2022-11-30 00:00:00","28383","1","2","init","init","1"
"2022-12-31 00:00:00","28855","1","2","init","init","1"
"2023-01-31 00:00:00","29266","1","2","init","init","1"
"2023-02-28 00:00:00","29615","1","2","init","init","1"
"2023-03-31 00:00:00","29913","1","2","init","init","1"
"2023-04-30 00:00:00","30133","1","2","init","init","1"
"2023-05-31 00:00:00","30234","1","2","init","init","1"
"2023-06-30 00:00:00","30294","1","2","init","init","1"
"2023-07-31 00:00:00","30363","1","2","init","init","1"
"2023-08-31 00:00:00","30417","1","2","init","init","1"
"2023-09-30 00:00:00","30496","1","2","init","init","1"
"2023-10-31 00:00:00","30652","1","2","init","init","1"
"2023-11-30 00:00:00","30943","1","2","init","init","1"
"2023-12-31 00:00:00","31323","1","2","init","init","1"
"2024-01-31 00:00:00","31795","1","2","init","init","1"
"2024-03-11 00:00:00","32151","1","2","init","init","1"
"2024-03-31 00:00:00","32297","1","2","init","init","1"
"2024-04-30 00:00:00","32494","1","2","init","init","1"
"2024-05-31 00:00:00","32591","1","2","init","init","1"
"2024-06-30 00:00:00","32674","1","2","init","init","1"
"2024-07-31 00:00:00","32747","1","2","init","init","1"
"2024-08-31 00:00:00","32805","1","2","init","init","1"
"2024-09-30 00:00:00","32920","1","2","init","init","1"
"2024-10-31 00:00:00","33083","1","2","init","init","1"
"2024-11-30 00:00:00","33419","1","2","init","init","1"
"2024-12-31 00:00:00","33886","1","2","init","init","1"
"2025-01-31 00:00:00","34349","1","2","init","init","1"
"2025-02-28 00:00:00","34749","1","2","init","init","1"
"2025-03-31 00:00:00","35057","1","2","init","init","1"
"2025-04-30 00:00:00","35240","1","2","init","init","1"
"2025-05-31 00:00:00","35373","1","2","init","init","1"
"2025-06-30 00:00:00","35433","1","2","init","init","1"
